lon_map,lat_map
-7.5011,-71.545
-7.5858,-71.483
-7.67,-71.42
-7.5839,-71.335
-7.4985,-71.25
-7.4139,-71.165
-7.33,-71.08
-7.4158,-71.018
-7.5011,-70.955
-7.5858,-70.893
-7.67,-70.83
-7.4594,-70.81
-7.2492,-70.79
-7.0394,-70.77
-6.83,-70.75
-5.83,-70.75
-5.83,-71
-6,-71.33
-4.5,-71.33
-3,-71.25
-3,-70.67
-3.33,-70.42
-2.5,-70.25
-1.67,-70.42
-1,-70.67
-1.5,-71
-0.67,-71.25
0,-71.5
1.33,-71.25
2.67,-70.92
3.5,-70.58
4.67,-70.33
6.33,-70.33
7.33,-70.08
8.67,-70.08
10,-70.17
11.33,-70.08
12.67,-70.08
14.33,-70.17
15.67,-70.17
15.67,-70.17
17,-70.17
18.33,-70.17
20,-70.33
21.5,-70.42
23,-70.58
24.67,-70.42
25.33,-70.17
27,-70.17
28.33,-69.92
30,-69.83
31.33,-69.58
32,-69.5
33.5,-69.5
33.33,-69
33.5,-68.67
34.33,-68.58
35,-68.92
36,-69.33
37,-69.5
38.33,-69.58
38.67,-70.08
39.33,-69.67
39.83,-69.5
39.83,-69.17
40,-68.83
41.33,-68.5
42,-68.17
43.33,-67.83
44.5,-67.75
46,-67.75
46,-67.75
47,-67.58
48.17,-67.67
48.5,-67.42
49.33,-67.42
49.83,-67.83
50.5,-67.58
50.17,-67
50.5,-66.5
51.5,-66.25
52.17,-65.92
53.67,-65.83
55.17,-65.92
56,-66.25
57.17,-66.42
57.17,-66.67
56.33,-66.75
57,-66.92
58,-67
59,-67.17
59.33,-67.5
60.67,-67.33
61.67,-67.58
62.67,-67.67
63.67,-67.5
65,-67.58
66.33,-67.75
67.67,-67.83
68.67,-67.83
69.5,-67.67
69.5,-68.17
69.5,-68.17
70,-68.58
70.5,-69
69.5,-69.17
69.83,-69.58
69.83,-70.08
70.67,-70.5
71.67,-70.42
71,-70.08
72.33,-69.75
73.5,-69.58
74.5,-69.67
75.5,-69.83
76.17,-69.5
77.17,-69.17
78,-69.08
78.33,-68.5
79,-68.25
80.5,-68
81.67,-67.83
82.5,-67.33
83.67,-67.17
85,-67
86.33,-66.83
87.67,-66.67
88.5,-66.75
89.67,-66.75
91,-66.67
92,-66.5
93,-66.58
94,-66.58
94,-66.58
95,-66.5
96,-66.67
97,-66.5
97.67,-66.67
98.5,-66.5
99.33,-66.58
100,-66.42
100.67,-66.42
101.5,-66.08
102.67,-65.83
104,-65.92
105,-66.08
106,-66.25
107,-66.5
108,-66.58
109,-66.83
109.5,-66.58
110.33,-66.67
110.67,-66.42
110.67,-66.08
111.67,-65.92
112.67,-65.83
113.67,-65.75
114.5,-66
115.5,-66.33
116.5,-66.5
117.67,-66.75
119,-66.83
120.33,-66.83
121.5,-66.67
121.5,-66.67
122.5,-66.42
123.33,-66.75
124.33,-66.75
124.83,-66.5
125.83,-66.58
126.5,-66.25
127,-66.25
127.67,-66.5
128.33,-66.92
129,-67
129.5,-67.17
130,-66.92
130,-66.33
130.83,-66.08
132,-66.17
133.33,-66.08
134.33,-66.17
135.33,-66.08
136.33,-66.33
137.33,-66.33
138.33,-66.5
139.33,-66.58
140.5,-66.67
142,-66.75
142.5,-67
143.33,-66.83
144.33,-67
144.33,-67.5
145,-67.58
146,-67.5
146,-67.5
146.83,-67.83
147,-68.25
148.33,-68.42
149,-68.25
150.33,-68.5
151,-68.33
151.5,-68.67
152.67,-68.58
154.33,-68.58
155,-69.08
156,-69.33
156.5,-69
157.5,-69.08
158.67,-69.25
160,-69.5
161,-69.67
161,-70.08
161.17,-70.5
161.67,-70.83
162.17,-70.58
162.33,-70.17
163.33,-70.08
163.17,-70.58
164.67,-70.58
166,-70.5
167.33,-70.83
168.67,-71.17
170,-71.5
170.17,-71.17
171,-71.75
171,-71.75
170.17,-72
170.5,-72.5
169.67,-72.83
168.5,-73.17
167,-73.25
167,-73.67
166.67,-74.08
165.33,-74.17
165.33,-74.5
164.33,-74.83
163,-75.17
162.67,-75.67
162.67,-76.08
163,-76.5
163.33,-76.92
163.67,-77.33
163.67,-77.75
164.67,-78
164.99,-78.106
165.32,-78.211
165.66,-78.316
166,-78.42
165.5,-78.441
165,-78.462
164.5,-78.481
164,-78.5
161.5,-78.75
160,-79.17
160,-79.67
160,-80
160.33,-80.5
160.33,-81
161,-81.5
162.33,-81.92
164,-82.42
166,-82.83
166,-82.83
168.5,-83.25
171.5,-83.5
176,-83.5
180,-83.83
NaN,NaN
166.33,-77.58
166.67,-77.08
168.17,-77.33
169.67,-77.42
168.17,-77.67
166.33,-77.58
NaN,NaN
-164,-78.75
-161.67,-78.75
-160.67,-79.08
-160,-79.5
-160,-79.92
-161.67,-80.25
-163.67,-79.83
-163.67,-79.33
-163,-79.08
-164,-78.75
NaN,NaN
-150.17,-76.58
-148.17,-76.17
-147.92,-76.233
-147.67,-76.296
-147.42,-76.358
-147.17,-76.42
-147.5,-76.503
-147.83,-76.586
-148.16,-76.668
-148.5,-76.75
-150.17,-76.58
NaN,NaN
-76.17,-71.08
-74.67,-71.08
-73,-71
-71.83,-70.92
-71,-70.83
-70.67,-70.58
-71,-70.08
-71.5,-69.58
-71.67,-69.08
-71.17,-68.92
-70.33,-68.83
-69.67,-69.42
-69.33,-70
-68.83,-70.5
-68.5,-71
-68.33,-71.5
-68.5,-71.92
-68.83,-72.33
-70,-72.58
-71.5,-72.67
-73,-72.58
-73.33,-72.25
-74.33,-72.17
-75,-71.83
-76,-71.67
-76.5,-71.33
-76.17,-71.08
NaN,NaN
-76.17,-70.58
-75.67,-70.25
-75.75,-70
-74.5,-69.75
-73.67,-69.92
-73.75,-70.25
-74,-70.5
-75,-70.58
-76.17,-70.58
NaN,NaN
-63.663,-64.799
-64.027,-64.763
-64.149,-64.692
-64.004,-64.563
-63.648,-64.442
-63.284,-64.335
-63.04,-64.563
-63.454,-64.756
-63.663,-64.799
NaN,NaN
-62.591,-64.541
-62.459,-64.256
-62.478,-64.099
-62.252,-64.085
-62.115,-64.249
-62.591,-64.541
NaN,NaN
-56.5,-63.25
-55.83,-63
-55.625,-63.105
-55.418,-63.211
-55.21,-63.315
-55,-63.42
-55.249,-63.441
-55.499,-63.461
-55.749,-63.481
-56,-63.5
-56.5,-63.25
NaN,NaN
-58.741,-62.232
-58.752,-62.127
-58.58,-62.007
-57.944,-61.958
-57.825,-61.986
-57.821,-62.077
-58.048,-62.162
-58.741,-62.232
NaN,NaN
-60.233,-62.788
-60.303,-62.69
-60.781,-62.669
-60.773,-62.507
-60.327,-62.457
-60.034,-62.478
-59.961,-62.57
-59.951,-62.676
-60.233,-62.788
NaN,NaN
-46.33,-60.63
-46,-60.33
-45.752,-60.423
-45.503,-60.516
-45.252,-60.608
-45,-60.7
-45.333,-60.684
-45.666,-60.667
-45.998,-60.649
-46.33,-60.63
NaN,NaN
-80.08,0
-80,0.67
-79.33,1
-78.83,1.25
-79,1.67
-78.58,1.75
-78.67,2.17
-78.33,2.67
-77.75,2.67
-77.5,3.25
-77.17,3.67
-77.5,4
-77.33,4.5
-77.42,5
-77.42,5.5
-77.5,6.17
-77.42,6.58
-77.75,7
-78.17,7.42
-78.42,8
-78.17,8.33
-78.5,8.33
-78.75,8.75
-79.17,9
-79.5,9
-79.75,8.58
-80.08,8.33
-80.08,8.33
-80.5,8.17
-80.42,7.83
-80.315,7.7475
-80.21,7.6651
-80.105,7.5825
-80,7.5
-80.125,7.4376
-80.25,7.3751
-80.375,7.3126
-80.5,7.25
-80.92,7.17
-81,7.75
-81.5,7.75
-81.75,8.08
-82.25,8.25
-82.75,8.33
-83,8.17
-83.25,8.42
-83.75,8.5
-83.67,9
-84,9.33
-84.58,9.67
-84.83,10
-85.17,9.67
-85.33,9.83
-85.67,9.92
-85.83,10.33
-85.75,10.75
-85.75,11.17
-86.17,11.5
-86.58,11.83
-87,12.25
-87.33,12.58
-87.415,12.685
-87.5,12.79
-87.585,12.895
-87.67,13
-87.585,13
-87.5,13
-87.415,13
-87.33,13
-87.415,13.105
-87.5,13.21
-87.585,13.315
-87.67,13.42
-87.67,13.42
-87.83,13.17
-88.42,13.17
-88.83,13.17
-89.33,13.42
-89.75,13.42
-90,13.67
-90.5,13.92
-91,13.92
-91.5,14.08
-92,14.33
-92.33,14.67
-92.75,15
-93.17,15.42
-93.42,15.67
-93.83,15.92
-94.25,16.08
-94.67,16.17
-95.17,16.17
-95.67,15.92
-96.25,15.67
-96.83,15.83
-97.42,16
-98,16.08
-98.5,16.33
-99,16.58
-99.5,16.67
-100,16.92
-100.5,17.08
-101,17.25
-101.58,17.67
-101.58,17.67
-102,18
-102.25,18
-102.83,18.08
-103.5,18.33
-103.83,18.75
-104.33,19.08
-104.92,19.33
-105.33,19.83
-105.67,20.33
-105.33,20.58
-105.5,20.83
-105.17,21.17
-105.17,21.5
-105.5,21.75
-105.67,22.42
-106,22.75
-106.42,23.17
-106.75,23.5
-107.17,24
-107.58,24.33
-108,24.67
-108.33,25.25
-109,25.5
-109.42,25.75
-109.42,26
-109.25,26.33
-109.5,26.67
-109.75,26.67
-110,27
-110.58,27.42
-110.58,27.42
-110.58,27.92
-111.17,28
-111.67,28.5
-112.17,29
-112.42,29.5
-112.75,29.92
-112.83,30.25
-113.08,30.75
-113.08,31.17
-113.5,31.33
-113.83,31.58
-114.17,31.5
-114.75,31.75
-114.83,31.42
-114.75,31
-114.58,30.58
-114.67,30.17
-114.42,29.83
-114,29.58
-113.67,29.17
-113.25,28.75
-112.92,28.33
-112.75,27.83
-112.33,27.5
-112,27
-111.5,26.5
-111.33,26
-111,25.5
-111,25.17
-110.67,24.83
-110.67,24.83
-110.83,24.67
-110.58,24.25
-110.17,24.25
-109.75,23.75
-109.42,23.33
-110,22.83
-110.33,23.5
-110.83,23.83
-111.25,24.25
-111.67,24.58
-112.33,24.83
-112.08,25.17
-112.08,25.67
-112.33,26.17
-112.83,26.42
-113.17,26.75
-113.58,26.75
-114,27
-114.33,27.17
-114.5,27.5
-115,27.83
-114.42,27.75
-114,28
-114,28.42
-114.33,28.75
-114.67,29.08
-115.17,29.5
-115.67,29.67
-115.75,30.25
-116,30.33
-116,30.33
-116,30.75
-116.33,31
-116.33,31.25
-116.58,31.58
-116.75,32
-117.08,32.5
-117.25,33
-117.5,33.42
-118,33.75
-118.33,33.75
-118.42,34.08
-118.75,34.08
-119.25,34.25
-119.83,34.42
-120.58,34.58
-120.58,35.08
-121.08,35.58
-121.42,36
-121.92,36.33
-121.83,36.58
-121.83,37
-122.17,37
-122.42,37.33
-122.5,37.75
-122.08,37.5
-122.33,37.92
-122.17,38.08
-122.5,38.17
-122.5,37.92
-123,38
-123,38
-122.92,38.33
-123.33,38.58
-123.67,38.92
-123.75,39.33
-123.75,39.67
-124,40
-124.33,40.25
-124.33,40.5
-124.08,41
-124,41.5
-124.17,42
-124.42,42.33
-124.5,42.83
-124.25,43.42
-124.08,44
-124,44.5
-124,45
-123.83,45.42
-123.92,45.83
-123.92,46.17
-123.17,46.17
-123.92,46.33
-124,46.67
-124.08,47
-124.33,47.5
-124.58,47.92
-124.75,48.17
-124.67,48.42
-123.83,48.17
-123.17,48.17
-123.17,48.17
-122.58,47.92
-123,47.5
-122.58,47.67
-122.5,47.5
-122.25,48
-122.33,48.105
-122.41,48.21
-122.5,48.315
-122.58,48.42
-122.54,48.46
-122.5,48.5
-122.46,48.54
-122.42,48.58
-122.5,48.685
-122.58,48.79
-122.67,48.895
-122.75,49
-123.17,49.25
-123.17,49.75
-123.75,49.5
-124.33,49.75
-124.92,50.08
-125.5,50.42
-126.25,50.67
-127,50.83
-127.75,51.17
-127.75,51.5
-128.17,51.83
-128.42,52.33
-129.17,52.58
-129.75,53.17
-130.33,53.42
-130.75,53.92
-130.17,54.17
-130.42,54.42
-130.08,54.92
-130.75,54.75
-131.33,55
-131.75,55.33
-131.75,55.33
-132.08,55.75
-132,56.08
-132.5,56.08
-133,56.25
-132.58,55.83
-132.08,55.25
-132.08,54.67
-132.5,55.08
-133.08,55.33
-133.42,55.58
-133.67,55.92
-133.67,56.33
-134.17,56.25
-134.33,56.75
-133.83,57.08
-133,56.92
-133.42,57.25
-133.75,57.58
-134,57.25
-134.5,57
-134.5,57.42
-134.75,57.92
-134.67,58.25
-135,58.67
-135.17,58.25
-135.67,58.25
-135,57.92
-135,57.42
-134.75,56.83
-134.75,56.17
-134.75,56.17
-135.17,56.75
-135.5,57.25
-136.17,57.67
-136.5,58.17
-137.25,58.42
-137.92,58.75
-138.67,59.17
-139.5,59.42
-139.67,59.92
-140.25,59.67
-141.08,59.75
-142,60
-143,60
-144,60
-145,60.25
-146,60.58
-146.67,60.83
-147.5,60.83
-148.33,61
-148.17,60.42
-148.67,59.92
-149.5,59.92
-150.17,59.58
-150.92,59.25
-151.92,59.17
-151.42,59.5
-151.92,59.67
-151.42,60.17
-151.33,60.75
-150.42,60.92
-150.42,60.92
-150.3,61.003
-150.17,61.085
-150.05,61.168
-149.92,61.25
-150.11,61.25
-150.3,61.251
-150.48,61.25
-150.67,61.25
-151.67,60.92
-152.25,60.58
-152.5,60.08
-153.08,59.67
-153.83,59.42
-154.08,59.08
-153.33,58.92
-153.83,58.5
-154.33,58.17
-155.25,57.83
-156.17,57.42
-156.67,57
-157.67,56.67
-158.42,56.42
-158.75,56
-159.58,55.83
-160.5,55.58
-161.42,55.42
-162,55.17
-162.83,55
-163.67,54.67
-164.75,54.33
-164.92,54.58
-163.92,55
-162.92,55.25
-162.33,55.67
-161.42,55.92
-160.5,56
-160.5,56
-159.92,56.5
-159,56.83
-158.33,57.25
-157.67,57.58
-157.5,58.17
-157.42,58.75
-158,58.67
-158.67,58.75
-158.92,58.42
-159.58,58.92
-161,58.92
-161.58,58.75
-161.92,59.17
-161.67,59.5
-162.17,60.08
-163,59.67
-163.83,59.67
-164.33,60.08
-164.92,60.58
-165.25,61.08
-166,61.5
-165.5,62.17
-164.83,62.67
-164.67,63
-163.92,63.25
-163,63
-162.25,63.42
-161,63.5
-160.75,64
-161.25,64.42
-161.25,64.42
-161,64.83
-161.92,64.67
-162.67,64.42
-163.67,64.58
-164.92,64.5
-166.33,64.67
-166.67,65
-166.33,65.33
-167.25,65.42
-167.39,65.46
-167.54,65.5
-167.68,65.54
-167.83,65.58
-167.58,65.686
-167.33,65.791
-167.08,65.896
-166.83,66
-165.75,66.25
-164.67,66.5
-163.83,66.5
-163.75,66.08
-162.17,66.08
-161.75,66.42
-162.5,66.83
-163.5,67.17
-164,67.67
-165.25,67.98
-166.17,68.33
-166,68.83
-164.83,68.92
-163.5,69.08
-163,69.45
-162.67,69.92
-161.58,70.33
-160.42,70.42
-159,70.83
-159,70.83
-157.58,70.87
-156.33,71.33
-154.83,71.13
-154.33,70.87
-152.5,70.87
-151.5,70.48
-150.33,70.48
-149,70.47
-147.5,70.22
-146.17,70.22
-145.08,70
-144,70.08
-142.83,70.08
-141.83,69.83
-141,69.62
-139.5,69.58
-138.33,69.32
-137.33,69
-136,68.75
-135.92,69.17
-135.17,69.5
-134.17,69.58
-133.33,69.38
-132.58,69.67
-131.17,69.98
-129.83,70.25
-129.42,69.83
-128.5,70
-128,70.58
-126.67,70.08
-126.67,70.08
-126.17,69.58
-125.33,69.42
-124.42,70
-124.33,69.42
-123.5,69.37
-123,69.83
-121.33,69.83
-120.25,69.47
-118.83,69.22
-117.5,69
-116,68.97
-114.67,68.72
-114.08,68.3
-115.08,68.17
-115.33,67.83
-114.17,67.83
-113,67.67
-111.58,67.83
-110.25,68
-109.25,67.75
-108.17,67.58
-107.83,68
-109,68.25
-108.25,68.58
-106.92,68.75
-105.67,68.9
-104.58,68.35
-103,68.03
-101.75,67.75
-100,67.58
-100,67.58
-98.75,67.67
-98.67,68.25
-98,68.58
-99.58,69
-98.58,69.33
-97.92,69.83
-96.42,69.33
-95.58,68.75
-96.92,68.38
-96.83,67.82
-95.83,67.5
-95.5,67.98
-95.17,68
-94.25,68.5
-94.67,69
-94,69.42
-95.67,69.83
-96.75,70.42
-96.25,70.97
-95.83,71.5
-95,71.75
-95,72.25
-95,72.67
-95.25,73.17
-95.58,73.58
-95.17,74
-93.17,74.17
-91.17,74.02
-90.17,73.83
-90.67,73.58
-90.67,73.58
-91.33,73.17
-91.92,72.75
-93.08,72.75
-94,72.58
-93.5,72.25
-94.17,71.92
-93.5,71.42
-92.67,71
-91.92,70.67
-91.33,70.17
-92.42,69.75
-91.33,69.5
-90.67,69.08
-89.92,68.58
-88.92,69.25
-88,68.75
-88,68.33
-88.17,67.83
-87.25,67.25
-86.5,67.42
-86.5,67.83
-85.42,68.17
-85.42,68.75
-85.5,69.33
-85.5,69.83
-84.25,69.83
-82.92,69.67
-82.75,69.33
-81.33,69.2
-81.33,68.58
-81.33,68.58
-82.42,68.33
-82.42,67.83
-81.17,67.58
-81.42,67
-82.67,66.58
-83.75,66.17
-85.08,66.33
-85.5,66.58
-86.75,66.5
-86,66.17
-87,65.5
-87,65
-87.75,64.5
-88.5,64
-90,64
-90.67,63.42
-90.58,62.92
-91.58,62.75
-92.5,62.58
-92.5,62.08
-93.17,61.92
-93.67,61.5
-94.17,61
-94.42,60.58
-94.67,60.17
-94.75,59.58
-94.75,59.08
-94.42,58.67
-93.75,58.75
-93.08,58.67
-93.08,58.67
-92.67,58.08
-92.67,57.67
-92.33,57.25
-92.33,56.92
-91.75,57.08
-91,57.25
-90,56.92
-89,56.75
-88.08,56.42
-87.934,56.315
-87.788,56.21
-87.644,56.105
-87.5,56
-87.332,55.958
-87.164,55.915
-86.997,55.873
-86.83,55.83
-86,55.67
-85,55.25
-84,55.25
-83,55.25
-82.17,55
-82.42,54.25
-82.17,53.83
-82.17,53.42
-82.33,52.92
-81.67,52.5
-81.25,52.08
-80.75,51.75
-80.42,51.33
-79.75,51
-79.83,51.33
-79,51.67
-78.42,52.17
-78.83,52.67
-78.83,53.17
-78.83,53.17
-78.92,53.75
-79.17,54.17
-79.5,54.58
-78.75,54.83
-78,55.17
-77.25,55.58
-76.75,56
-76.75,56.67
-77,57.25
-77.17,57.67
-77.5,58.25
-78.08,58.42
-78.67,58.75
-78.58,59.08
-77.92,59.17
-77.42,59.58
-77.42,60
-77.58,60.5
-78.08,60.75
-77.75,61.17
-77.688,61.273
-77.626,61.375
-77.563,61.478
-77.5,61.58
-77.644,61.643
-77.789,61.705
-77.934,61.768
-78.08,61.83
-78.08,62.25
-77.42,62.5
-76.42,62.42
-75.5,62.25
-74.83,62.25
-73.67,62.42
-72.92,62.17
-72.25,61.83
-72.25,61.83
-71.5,61.58
-71.75,61.25
-71,61
-70.25,61
-69.5,60.92
-69.67,60.5
-69.42,60.08
-69.5,59.58
-69.5,59.25
-69,58.83
-68.42,58.75
-67.75,58.17
-66.75,58.42
-66.42,58.75
-65.67,59
-65.25,59.42
-65.58,59.75
-65.17,60
-64.67,60.33
-64.33,60
-63.83,59.5
-63.25,59
-62.83,58.5
-62.33,58
-61.83,57.67
-61.83,57.33
-61.33,57.08
-61.75,56.75
-61.75,56.25
-61.33,55.92
-61.33,55.92
-60.5,55.67
-60.33,55.25
-59.25,55.17
-58.92,54.83
-58,54.75
-57.874,54.688
-57.749,54.625
-57.624,54.563
-57.5,54.5
-57.709,54.418
-57.917,54.336
-58.124,54.253
-58.33,54.17
-58.08,54.148
-57.829,54.126
-57.58,54.103
-57.33,54.08
-57.25,53.67
-56.5,53.67
-55.83,53.17
-56,52.75
-55.67,52.08
-56.17,51.83
-56.83,51.5
-57.83,51.42
-58.67,51.17
-59.08,50.83
-59.5,50.5
-60,50.17
-60.92,50.17
-61.67,50.08
-62.17,50.25
-62.83,50.25
-63.42,50.25
-64,50.33
-64.75,50.25
-65.42,50.25
-66,50.25
-66.75,50.08
-66.75,50.08
-67.17,49.75
-67.33,49.33
-68,49.33
-68.67,48.92
-69.25,48.58
-69.67,48.17
-70,47.83
-70.42,47.5
-70.75,47.17
-71.17,46.83
-70.5,47
-70.08,47.33
-69.67,47.67
-69.25,48.08
-68.67,48.42
-68,48.67
-67.42,48.83
-66.75,49.08
-66,49.17
-65.25,49.25
-64.58,49.08
-64.25,48.83
-64.25,48.5
-64.83,48.25
-65.33,48.08
-66.33,48.08
-65.67,47.58
-64.83,47.75
-65,47.33
-64.92,46.75
-64.92,46.75
-64.58,46.25
-64,46.08
-63.25,45.75
-62.58,45.67
-62,45.83
-61.5,45.75
-61.5,46.17
-61,46.58
-60.67,47
-60.42,46.83
-60.5,46.33
-60.332,46.248
-60.164,46.165
-59.997,46.083
-59.83,46
-59.978,45.918
-60.126,45.835
-60.273,45.753
-60.42,45.67
-61,45.5
-61.17,45.17
-62,45
-63,44.75
-63.67,44.5
-64.17,44.5
-64.5,44.17
-65,43.83
-65.5,43.5
-66,43.75
-66.17,44.17
-65.92,44.58
-65.33,44.92
-64.92,45.08
-64.25,45.42
-64.92,45.33
-64.83,45.67
-64.83,45.67
-65.58,45.33
-66.25,45.17
-67,45.17
-67,44.83
-67.5,44.58
-68,44.42
-68.58,44.25
-68.83,44.42
-69.17,44
-69.75,43.83
-70.25,43.67
-70.25,43.5
-70.58,43.17
-70.83,42.83
-70.75,42.58
-71,42.33
-70.67,42.17
-70.5,41.75
-70,41.79
-70.04,42.02
-69.93,41.67
-70.67,41.5
-70.67,41.67
-71.08,41.5
-71.33,41.75
-71.5,41.42
-72,41.25
-72.5,41.25
-73,41.25
